DATE,Station_ID,Predicted_TMIN,Predicted_SNOW,Predicted_Cold_Event
2025-04-26,USC00270690,0.6,0.0,0
2025-04-27,USC00270690,0.6,0.0,0
2025-04-28,USC00270690,0.6,0.0,0
2025-04-29,USC00270690,0.6,0.0,0
2025-04-30,USC00270690,0.6,0.0,0
2025-05-01,USC00270690,0.6,0.0,0
2025-05-02,USC00270690,0.6,0.0,0
2025-04-04,USC00270913,-1.1,0.0,0
2025-04-05,USC00270913,-0.0,0.0,0
2025-04-06,USC00270913,-5.0,0.0,0
2025-04-07,USC00270913,-1.7,0.0,0
2025-04-08,USC00270913,-1.1,0.0,0
2025-04-09,USC00270913,-0.0,0.0,0
2025-04-10,USC00270913,-5.0,0.0,0
2025-04-27,USC00271190,3.3,24.700000762939453,0
2025-04-28,USC00271190,3.3,24.700000762939453,0
2025-04-29,USC00271190,3.3,24.700000762939453,0
2025-04-30,USC00271190,3.3,24.700000762939453,0
2025-05-01,USC00271190,3.3,24.700000762939453,0
2025-05-02,USC00271190,3.3,24.700000762939453,0
2025-05-03,USC00271190,3.3,24.700000762939453,0
2025-04-20,USC00271647,-5.6,30.0,0
2025-04-21,USC00271647,-5.1,29.600000381469727,0
2025-04-22,USC00271647,-5.1,26.299999237060547,0
2025-04-23,USC00271647,-5.1,22.299999237060547,0
2025-04-24,USC00271647,-9.4,21.399999618530273,0
2025-04-25,USC00271647,-7.8,21.399999618530273,0
2025-04-26,USC00271647,-9.4,21.399999618530273,0
2025-04-27,USC00271800,4.4,0.0,0
2025-04-28,USC00271800,4.4,0.0,0
2025-04-29,USC00271800,4.4,0.0,0
2025-04-30,USC00271800,4.4,0.0,0
2025-05-01,USC00271800,4.4,0.0,0
2025-05-02,USC00271800,4.4,0.0,0
2025-05-03,USC00271800,4.4,0.0,0
2025-04-27,USC00272302,10.6,0.0,0
2025-04-28,USC00272302,10.6,0.0,0
2025-04-29,USC00272302,10.6,0.0,0
2025-04-30,USC00272302,10.6,0.0,0
2025-05-01,USC00272302,10.6,0.0,0
2025-05-02,USC00272302,10.6,0.0,0
2025-05-03,USC00272302,10.6,0.0,0
2025-04-27,USC00272303,5.6,0.0,0
2025-04-28,USC00272303,6.3,0.0,0
2025-04-29,USC00272303,7.4,0.0,0
2025-04-30,USC00272303,7.4,0.0,0
2025-05-01,USC00272303,7.4,0.0,0
2025-05-02,USC00272303,7.4,0.0,0
2025-05-03,USC00272303,7.4,0.0,0
2025-04-27,USC00272800,9.4,0.0,0
2025-04-28,USC00272800,9.4,0.0,0
2025-04-29,USC00272800,9.4,0.0,0
2025-04-30,USC00272800,9.4,0.0,0
2025-05-01,USC00272800,9.4,0.0,0
2025-05-02,USC00272800,9.4,0.0,0
2025-05-03,USC00272800,9.4,0.0,0
2025-04-27,USC00272846,2.0,0.0,0
2025-04-28,USC00272846,5.6,0.0,0
2025-04-29,USC00272846,2.0,0.0,0
2025-04-30,USC00272846,5.6,0.0,0
2025-05-01,USC00272846,2.0,0.0,0
2025-05-02,USC00272846,5.6,0.0,0
2025-05-03,USC00272846,2.0,0.0,0
2025-04-26,USC00273182,1.3,0.0,0
2025-04-27,USC00273182,8.2,0.0,0
2025-04-28,USC00273182,7.3,0.0,0
2025-04-29,USC00273182,7.3,0.0,0
2025-04-30,USC00273182,7.3,0.0,0
2025-05-01,USC00273182,7.3,0.0,0
2025-05-02,USC00273182,7.3,0.0,0
2025-04-27,USC00273488,8.3,0.0,0
2025-04-28,USC00273488,8.3,0.0,0
2025-04-29,USC00273488,8.3,0.0,0
2025-04-30,USC00273488,8.3,0.0,0
2025-05-01,USC00273488,8.3,0.0,0
2025-05-02,USC00273488,8.3,0.0,0
2025-05-03,USC00273488,8.3,0.0,0
2025-04-26,USC00273535,-0.4,0.0,0
2025-04-27,USC00273535,-0.6,0.0,0
2025-04-28,USC00273535,-0.6,0.0,0
2025-04-29,USC00273535,-0.6,0.0,0
2025-04-30,USC00273535,-0.6,0.0,0
2025-05-01,USC00273535,-0.6,0.0,0
2025-05-02,USC00273535,-0.6,0.0,0
2025-04-08,USC00273626,0.0,0.0,0
2025-04-09,USC00273626,0.0,0.0,0
2025-04-10,USC00273626,0.0,0.0,0
2025-04-11,USC00273626,0.0,0.0,0
2025-04-12,USC00273626,0.0,0.0,0
2025-04-13,USC00273626,0.0,0.0,0
2025-04-14,USC00273626,0.0,0.0,0
2025-04-02,USC00273658,-0.0,0.0,0
2025-04-03,USC00273658,-0.0,0.0,0
2025-04-04,USC00273658,-0.0,0.0,0
2025-04-05,USC00273658,-0.0,0.0,0
2025-04-06,USC00273658,-0.0,0.0,0
2025-04-07,USC00273658,-0.0,0.0,0
2025-04-08,USC00273658,-0.0,0.0,0
2025-04-27,USC00273860,1.6,0.0,0
2025-04-28,USC00273860,1.6,0.0,0
2025-04-29,USC00273860,1.6,0.0,0
2025-04-30,USC00273860,1.6,0.0,0
2025-05-01,USC00273860,1.6,0.0,0
2025-05-02,USC00273860,1.6,0.0,0
2025-05-03,USC00273860,1.6,0.0,0
2025-04-26,USC00274218,3.3,0.0,0
2025-04-27,USC00274218,3.3,0.0,0
2025-04-28,USC00274218,3.3,0.0,0
2025-04-29,USC00274218,3.3,0.0,0
2025-04-30,USC00274218,3.3,0.0,0
2025-05-01,USC00274218,3.3,0.0,0
2025-05-02,USC00274218,3.3,0.0,0
2025-04-27,USC00274234,11.1,0.0,0
2025-04-28,USC00274234,11.1,0.0,0
2025-04-29,USC00274234,11.1,0.0,0
2025-04-30,USC00274234,11.1,0.0,0
2025-05-01,USC00274234,11.1,0.0,0
2025-05-02,USC00274234,11.1,0.0,0
2025-05-03,USC00274234,11.1,0.0,0
2025-04-27,USC00274304,13.3,0.0,0
2025-04-28,USC00274304,13.3,0.0,0
2025-04-29,USC00274304,13.3,0.0,0
2025-04-30,USC00274304,13.3,0.0,0
2025-05-01,USC00274304,13.3,0.0,0
2025-05-02,USC00274304,13.3,0.0,0
2025-05-03,USC00274304,13.3,0.0,0
2025-04-27,USC00274329,8.8,0.0,0
2025-04-28,USC00274329,8.8,0.0,0
2025-04-29,USC00274329,8.8,0.0,0
2025-04-30,USC00274329,8.8,0.0,0
2025-05-01,USC00274329,8.8,0.0,0
2025-05-02,USC00274329,8.8,0.0,0
2025-05-03,USC00274329,8.8,0.0,0
2025-04-27,USC00274399,10.0,0.0,0
2025-04-28,USC00274399,10.0,0.0,0
2025-04-29,USC00274399,10.0,0.0,0
2025-04-30,USC00274399,10.0,0.0,0
2025-05-01,USC00274399,10.0,0.0,0
2025-05-02,USC00274399,10.0,0.0,0
2025-05-03,USC00274399,10.0,0.0,0
2025-04-26,USC00274480,3.3,0.0,0
2025-04-27,USC00274480,3.3,0.0,0
2025-04-28,USC00274480,3.9,0.0,0
2025-04-29,USC00274480,3.3,0.0,0
2025-04-30,USC00274480,3.3,0.0,0
2025-05-01,USC00274480,3.3,0.0,0
2025-05-02,USC00274480,3.3,0.0,0
2025-04-27,USC00274734,8.9,0.0,0
2025-04-28,USC00274734,8.9,0.0,0
2025-04-29,USC00274734,8.9,0.0,0
2025-04-30,USC00274734,8.9,0.0,0
2025-05-01,USC00274734,8.9,0.0,0
2025-05-02,USC00274734,8.9,0.0,0
2025-05-03,USC00274734,8.9,0.0,0
2025-04-27,USC00274810,3.0,0.0,0
2025-04-28,USC00274810,3.0,0.0,0
2025-04-29,USC00274810,3.0,0.0,0
2025-04-30,USC00274810,3.0,0.0,0
2025-05-01,USC00274810,3.0,0.0,0
2025-05-02,USC00274810,3.0,0.0,0
2025-05-03,USC00274810,3.0,0.0,0
2025-04-26,USC00275013,2.2,0.0,0
2025-04-27,USC00275013,2.2,0.0,0
2025-04-28,USC00275013,2.2,0.0,0
2025-04-29,USC00275013,2.2,0.0,0
2025-04-30,USC00275013,2.2,0.0,0
2025-05-01,USC00275013,2.2,0.0,0
2025-05-02,USC00275013,2.2,0.0,0
2025-04-27,USC00275211,10.6,0.0,0
2025-04-28,USC00275211,10.6,0.0,0
2025-04-29,USC00275211,10.6,0.0,0
2025-04-30,USC00275211,10.6,0.0,0
2025-05-01,USC00275211,10.6,0.0,0
2025-05-02,USC00275211,10.6,0.0,0
2025-05-03,USC00275211,10.6,0.0,0
2025-04-27,USC00275703,11.1,0.0,0
2025-04-28,USC00275703,11.1,0.0,0
2025-04-29,USC00275703,11.1,0.0,0
2025-04-30,USC00275703,11.1,0.0,0
2025-05-01,USC00275703,11.1,0.0,0
2025-05-02,USC00275703,11.1,0.0,0
2025-05-03,USC00275703,11.1,0.0,0
2025-04-01,USC00275712,1.7,0.0,0
2025-04-02,USC00275712,1.7,0.0,0
2025-04-03,USC00275712,1.7,0.0,0
2025-04-04,USC00275712,1.7,0.0,0
2025-04-05,USC00275712,1.7,0.0,0
2025-04-06,USC00275712,1.7,0.0,0
2025-04-07,USC00275712,1.7,0.0,0
2025-04-25,USC00275868,0.3,0.0,0
2025-04-26,USC00275868,-0.0,0.0,0
2025-04-27,USC00275868,-0.1,0.0,0
2025-04-28,USC00275868,2.5,0.0,0
2025-04-29,USC00275868,-0.3,0.0,0
2025-04-30,USC00275868,2.5,0.0,0
2025-05-01,USC00275868,-2.9,0.0,0
2025-04-27,USC00275995,8.3,0.0,0
2025-04-28,USC00275995,8.3,0.0,0
2025-04-29,USC00275995,8.3,0.0,0
2025-04-30,USC00275995,8.3,0.0,0
2025-05-01,USC00275995,8.3,0.0,0
2025-05-02,USC00275995,8.3,0.0,0
2025-05-03,USC00275995,8.3,0.0,0
2025-04-27,USC00276365,6.1,0.0,0
2025-04-28,USC00276365,6.1,0.0,0
2025-04-29,USC00276365,6.1,0.0,0
2025-04-30,USC00276365,6.1,0.0,0
2025-05-01,USC00276365,6.1,0.0,0
2025-05-02,USC00276365,6.1,0.0,0
2025-05-03,USC00276365,6.1,0.0,0
2025-04-26,USC00276550,3.3,0.0,0
2025-04-27,USC00276550,3.3,0.0,0
2025-04-28,USC00276550,3.3,0.0,0
2025-04-29,USC00276550,3.3,0.0,0
2025-04-30,USC00276550,3.3,0.0,0
2025-05-01,USC00276550,3.3,0.0,0
2025-05-02,USC00276550,3.3,0.0,0
2025-04-27,USC00276818,1.2,0.0,0
2025-04-28,USC00276818,-0.5,0.0,0
2025-04-29,USC00276818,0.6,0.0,0
2025-04-30,USC00276818,0.6,0.0,0
2025-05-01,USC00276818,0.6,0.0,0
2025-05-02,USC00276818,0.6,0.0,0
2025-05-03,USC00276818,0.6,0.0,0
2025-04-27,USC00276856,-2.2,0.0,0
2025-04-28,USC00276856,-2.3,0.0,0
2025-04-29,USC00276856,-0.0,0.0,0
2025-04-30,USC00276856,-2.2,0.0,0
2025-05-01,USC00276856,-2.3,0.0,0
2025-05-02,USC00276856,-1.8,0.0,0
2025-05-03,USC00276856,-3.7,0.0,0
2025-04-27,USC00277833,9.4,0.0,0
2025-04-28,USC00277833,9.4,0.0,0
2025-04-29,USC00277833,9.4,0.0,0
2025-04-30,USC00277833,9.4,0.0,0
2025-05-01,USC00277833,9.4,0.0,0
2025-05-02,USC00277833,9.4,0.0,0
2025-05-03,USC00277833,9.4,0.0,0
2025-04-26,USC00278539,4.4,0.0,0
2025-04-27,USC00278539,4.4,0.0,0
2025-04-28,USC00278539,4.4,0.0,0
2025-04-29,USC00278539,4.4,0.0,0
2025-04-30,USC00278539,4.4,0.0,0
2025-05-01,USC00278539,4.4,0.0,0
2025-05-02,USC00278539,4.4,0.0,0
2025-04-26,USC00278614,2.2,0.0,0
2025-04-27,USC00278614,2.2,0.0,0
2025-04-28,USC00278614,-2.8,0.0,0
2025-04-29,USC00278614,-3.2,0.0,0
2025-04-30,USC00278614,-2.2,0.0,0
2025-05-01,USC00278614,0.4,0.0,0
2025-05-02,USC00278614,-3.3,0.0,0
2025-04-27,USC00278856,6.4,0.0,0
2025-04-28,USC00278856,7.9,0.0,0
2025-04-29,USC00278856,9.4,0.0,0
2025-04-30,USC00278856,6.4,0.0,0
2025-05-01,USC00278856,9.4,0.0,0
2025-05-02,USC00278856,6.4,0.0,0
2025-05-03,USC00278856,9.4,0.0,0
2025-04-27,USC00278961,8.3,0.0,0
2025-04-28,USC00278961,8.3,0.0,0
2025-04-29,USC00278961,8.3,0.0,0
2025-04-30,USC00278961,8.3,0.0,0
2025-05-01,USC00278961,8.3,0.0,0
2025-05-02,USC00278961,8.3,0.0,0
2025-05-03,USC00278961,8.3,0.0,0
2025-04-27,USC00279278,7.7,0.0,0
2025-04-28,USC00279278,7.7,0.0,0
2025-04-29,USC00279278,7.7,0.0,0
2025-04-30,USC00279278,7.7,0.0,0
2025-05-01,USC00279278,7.7,0.0,0
2025-05-02,USC00279278,7.7,0.0,0
2025-05-03,USC00279278,7.7,0.0,0
2025-04-01,USC00279966,-2.8,0.0,0
2025-04-02,USC00279966,-2.8,0.0,0
2025-04-03,USC00279966,-2.8,0.0,0
2025-04-04,USC00279966,-2.8,0.0,0
2025-04-05,USC00279966,-2.8,0.0,0
2025-04-06,USC00279966,-2.8,0.0,0
2025-04-07,USC00279966,-2.8,0.0,0
2025-04-27,USC00279970,0.0,0.0,0
2025-04-28,USC00279970,0.0,0.0,0
2025-04-29,USC00279970,0.0,0.0,0
2025-04-30,USC00279970,0.0,0.0,0
2025-05-01,USC00279970,0.0,0.0,0
2025-05-02,USC00279970,0.0,0.0,0
2025-05-03,USC00279970,0.0,0.0,0
2025-04-26,USR0000NWMT,5.4,0.0,0
2025-04-27,USR0000NWMT,4.2,0.0,0
2025-04-28,USR0000NWMT,5.4,0.0,0
2025-04-29,USR0000NWMT,5.4,0.0,0
2025-04-30,USR0000NWMT,5.4,0.0,0
