Day,Forecasted_TMIN
Day 1,-0.09799611099113692
Day 2,-1.1288167292962537
Day 3,-1.7429505654979516
Day 4,-2.1321762725663063
Day 5,-2.358861875860304
Day 6,-2.480940722807707
Day 7,-2.527197686344645
