Day,Forecasted_TMIN
Day 1,-2.1521299488726156
Day 2,-2.487520503252669
Day 3,-2.310951184009965
Day 4,-2.1752562590220226
Day 5,-2.09474488919873
Day 6,-2.0788445847207893
Day 7,-2.086793500159474
