Day,Forecasted_TMIN
Day 1,-7.652132270815024
Day 2,-8.572957039327672
Day 3,-9.141587761759476
Day 4,-9.587538633591857
Day 5,-9.844955134188316
Day 6,-9.976951767030146
Day 7,-10.008930040981683
