Day,Forecasted_TMIN
Day 1,0.41206480327098305
Day 2,-0.6730325652598519
Day 3,-1.1229590046944646
Day 4,-1.3656157510284719
Day 5,-1.463673631126905
Day 6,-1.486040713096203
Day 7,-1.460085656790111
