Day,Forecasted_TMIN
Day 1,-0.9145330105880846
Day 2,-1.7616849752807064
Day 3,-2.3372738329174503
Day 4,-2.786970474854339
Day 5,-3.1440618682781922
Day 6,-3.4341185578686124
Day 7,-3.652023934868765
