DATE,Station_ID,Predicted_TMIN,Actual_TMIN
2025-02-01,USC00272302,-10.080731,-10.0
2025-02-02,USC00272302,-19.059572,-19.4
2025-02-03,USC00272302,-18.761526,-19.4
2025-02-04,USC00272302,-7.533619,-7.2
2025-02-05,USC00272302,-11.229667,-11.1
2025-02-06,USC00272302,-16.018587,-16.1
2025-02-07,USC00272302,-13.935369,-13.9
2025-02-08,USC00272302,-12.673308,-12.8
2025-02-09,USC00272302,-11.558934,-11.7
2025-02-10,USC00272302,-8.768932,-8.9
2025-02-11,USC00272302,-17.662699,-17.8
2025-02-12,USC00272302,-16.089867,-16.7
2025-02-13,USC00272302,-12.780794,-12.8
2025-02-14,USC00272302,-5.843696,-5.6
2025-02-15,USC00272302,-12.961115,-12.8
2025-02-16,USC00272302,-11.939987,-11.7
2025-02-17,USC00272302,-11.897743,-11.7
2025-02-18,USC00272302,-9.914905,-10.0
2025-02-19,USC00272302,-12.609537,-12.8
2025-02-20,USC00272302,-15.084334,-15.0
2025-02-21,USC00272302,-14.694874,-15.0
2025-02-22,USC00272302,-10.12962,-10.0
2025-02-23,USC00272302,-7.9277897,-8.3
2025-02-24,USC00272302,-8.134684,-8.3
2025-02-25,USC00272302,-2.713039,-2.2
2025-02-26,USC00272302,-1.4576544,-0.6
2025-02-27,USC00272302,-2.5457606,-2.2
2025-02-28,USC00272302,-2.2200496,-2.2
2025-02-01,USC00275703,-3.1239524,-2.2
2025-02-02,USC00275703,-19.934393,-20.0
2025-02-03,USC00275703,-14.489964,-15.0
2025-02-04,USC00275703,-6.6262107,-7.2
2025-02-05,USC00275703,-12.005008,-12.2
2025-02-06,USC00275703,-15.480134,-16.1
2025-02-07,USC00275703,-13.91318,-13.9
2025-02-08,USC00275703,-10.270588,-10.6
2025-02-09,USC00275703,-10.531169,-10.6
2025-02-10,USC00275703,-9.579223,-9.4
2025-02-11,USC00275703,-15.825808,-16.1
2025-02-12,USC00275703,-15.633552,-16.1
2025-02-13,USC00275703,-10.950078,-11.1
2025-02-14,USC00275703,-5.532836,-5.6
2025-02-15,USC00275703,-12.085982,-12.2
2025-02-16,USC00275703,-11.029484,-11.1
2025-02-17,USC00275703,-6.058002,-6.7
2025-02-18,USC00275703,-12.335493,-12.2
2025-02-19,USC00275703,-13.605516,-13.3
2025-02-20,USC00275703,-15.468114,-15.6
2025-02-21,USC00275703,-11.651192,-11.7
2025-02-22,USC00275703,-10.601431,-10.6
2025-02-23,USC00275703,-14.407917,-15.0
2025-02-24,USC00275703,-5.046788,-4.4
2025-02-25,USC00275703,-4.9965954,-4.4
2025-02-26,USC00275703,0.4795883,0.6
2025-02-27,USC00275703,-3.0726163,-2.8
2025-02-28,USC00275703,-2.3327336,-2.2
2025-02-01,USC00278614,-8.2687,-8.3
2025-02-02,USC00278614,-23.175333,-25.0
2025-02-03,USC00278614,-23.61293,-25.0
2025-02-04,USC00278614,-8.907319,-8.3
2025-02-05,USC00278614,-20.302883,-20.6
2025-02-06,USC00278614,-21.666805,-22.2
2025-02-07,USC00278614,-19.778036,-21.1
2025-02-08,USC00278614,-13.330925,-12.8
2025-02-09,USC00278614,-12.446396,-12.2
2025-02-10,USC00278614,-13.7530365,-13.9
2025-02-11,USC00278614,-20.335402,-21.7
2025-02-12,USC00278614,-20.707127,-21.7
2025-02-13,USC00278614,-16.686228,-17.2
2025-02-14,USC00278614,-8.479016,-7.8
2025-02-15,USC00278614,-17.400892,-17.8
2025-02-16,USC00278614,-16.292908,-17.2
2025-02-17,USC00278614,-9.73965,-9.4
2025-02-18,USC00278614,-11.453138,-11.7
2025-02-19,USC00278614,-16.706757,-16.7
2025-02-20,USC00278614,-19.218859,-20.0
2025-02-21,USC00278614,-18.958931,-20.0
2025-02-22,USC00278614,-14.622884,-14.4
2025-02-23,USC00278614,-14.651173,-14.4
2025-02-24,USC00278614,-5.072153,-5.0
2025-02-25,USC00278614,-5.101039,-4.4
2025-02-26,USC00278614,-4.216414,-3.9
2025-02-27,USC00278614,-5.5224175,-5.6
2025-02-28,USC00278614,-3.8219273,-3.9
2025-02-01,USC00279278,-2.6480782,-2.2
2025-02-02,USC00279278,-19.435732,-19.4
2025-02-03,USC00279278,-19.11599,-19.4
2025-02-04,USC00279278,-8.060647,-7.8
2025-02-05,USC00279278,-13.802379,-13.9
2025-02-06,USC00279278,-16.630232,-16.7
2025-02-07,USC00279278,-15.688762,-16.1
2025-02-08,USC00279278,-11.294909,-11.1
2025-02-09,USC00279278,-9.930151,-10.0
2025-02-10,USC00279278,-6.1179414,-6.1
2025-02-11,USC00279278,-12.923271,-12.8
2025-02-12,USC00279278,-10.647921,-10.6
2025-02-13,USC00279278,-9.668395,-9.4
2025-02-14,USC00279278,-5.015101,-5.0
2025-02-15,USC00279278,-11.330341,-11.7
2025-02-16,USC00279278,-10.998883,-11.1
2025-02-17,USC00279278,-6.7773757,-6.7
2025-02-18,USC00279278,-9.472529,-9.4
2025-02-19,USC00279278,-13.049164,-13.3
2025-02-20,USC00279278,-12.480384,-12.8
2025-02-21,USC00279278,-12.717465,-12.8
2025-02-22,USC00279278,-10.15261,-10.6
2025-02-23,USC00279278,-9.755767,-9.4
2025-02-24,USC00279278,-2.694724,-2.2
2025-02-25,USC00279278,-3.0001593,-2.2
2025-02-26,USC00279278,1.6145817,1.7
2025-02-27,USC00279278,-0.7160592,-0.6
2025-02-28,USC00279278,0.6654173,0.0
2025-02-01,USW00014755,-18.203028,-17.8
2025-02-02,USW00014755,-22.638605,-25.0
2025-02-03,USW00014755,-18.391401,-18.3
2025-02-04,USW00014755,-17.706732,-17.2
2025-02-05,USW00014755,-23.27047,-26.1
2025-02-06,USW00014755,-23.913858,-25.0
2025-02-07,USW00014755,-16.80013,-16.1
2025-02-08,USW00014755,-19.716368,-20.0
2025-02-09,USW00014755,-19.689102,-20.0
