DATE,Station_ID,Predicted_TMIN,Actual_TMIN,Lower_Bound_TMIN,Upper_Bound_TMIN,Cold_Event_Probability
2025-01-05,USC00434120,-14.580912,-15.0,-14.960912,-14.200911999999999,0.0
2025-01-06,USC00434120,-19.948923,-20.0,-20.328923,-19.568923,0.0
2025-01-07,USC00434120,-18.772991,-18.3,-19.152991,-18.392991000000002,0.0
2025-01-08,USC00434120,-17.11507,-16.1,-17.49507,-16.73507,0.0
2025-01-09,USC00434120,-17.380236,-16.7,-17.760236,-17.000236,0.0
2025-01-10,USC00434120,-15.346213,-14.4,-15.726213000000001,-14.966213,0.0
2025-01-11,USC00434120,-18.634853,-18.3,-19.014853,-18.254853,0.0
2025-01-12,USC00434120,-12.590789,-12.2,-12.970789,-12.210788999999998,0.0
2025-01-13,USC00434120,-14.5223255,-13.9,-14.902325500000002,-14.1423255,0.0
2025-01-14,USC00434120,-10.804721,-10.6,-11.184721000000001,-10.424721,0.0
2025-01-15,USC00434120,-11.983777,-12.2,-12.363777,-11.603777,0.0
2025-01-16,USC00434120,-19.947758,-20.0,-20.327758,-19.567758,0.0
2025-01-17,USC00434120,-15.777458,-15.6,-16.157458,-15.397457999999999,0.0
2025-01-18,USC00434120,-13.9099045,-13.3,-14.2899045,-13.529904499999999,0.0
2025-01-19,USC00434120,-7.9162087,-7.8,-8.296208700000001,-7.5362087,0.0
2025-01-20,USC00434120,-16.205704,-16.1,-16.585704,-15.825704,0.0
2025-01-21,USC00434120,-28.705404,-28.9,-29.085404,-28.325404000000002,53.83296200000004
2025-01-22,USC00434120,-30.428171,-30.6,-30.808170999999998,-30.048171,71.06063200000001
2025-01-23,USC00434120,-29.132097,-29.4,-29.512097,-28.752097000000003,58.09989200000004
2025-01-24,USC00434120,-19.43787,-18.9,-19.81787,-19.05787,0.0
2025-01-25,USC00434120,-28.782578,-28.9,-29.162578,-28.402578000000002,54.604702000000024
2025-01-26,USC00434120,-24.642284,-24.4,-25.022284,-24.262284,13.201762000000022
2025-01-27,USC00434120,-14.520466,-13.9,-14.900466000000002,-14.140466,0.0
2025-01-28,USC00434120,-11.0029125,-10.6,-11.382912500000002,-10.6229125,0.0
2025-01-29,USC00434120,-23.587664,-22.8,-23.967664,-23.207664,2.6555620000000246
2025-01-30,USC00434120,-20.53917,-20.6,-20.919169999999998,-20.15917,0.0
2025-01-31,USC00434120,-16.01988,-16.1,-16.39988,-15.63988,0.0
2025-02-01,USC00434120,-16.627796,-15.6,-17.007796,-16.247796,0.0
2025-02-02,USC00434120,-32.99715,-32.8,-33.37715,-32.617149999999995,96.750422
2025-02-03,USC00434120,-24.599632,-23.3,-24.979632,-24.219632,12.77524200000002
