Station_ID,Target,MAE,RMSE,Model,Test_Sample_Count
USW00014755,TMIN,0.022219744160061828,0.10306301843120493,XGBoost,105
USC00278614,TMIN,0.00039945675518884073,0.0008549519499111319,XGBoost,105
USC00279278,TMIN,0.0035105752669430945,0.02496829664314757,XGBoost,105
USC00272302,TMIN,0.005341443665563998,0.048673240740913386,XGBoost,105
USC00275703,TMIN,0.0008922258168569687,0.0030257386597885515,XGBoost,105
USW00014755,SNOW,0.05717643540618677,0.23853219359662853,XGBoost,105
USC00278614,SNOW,0.026507653648565922,0.1343097677408999,XGBoost,105
USC00279278,SNOW,0.01181185274007952,0.0769982516738916,XGBoost,105
USC00272302,SNOW,0.0455407841186527,0.32776081395004397,XGBoost,105
USC00275703,SNOW,0.20047403543888193,1.384747961314842,XGBoost,105
