ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
US1NHBK0001,2009,6,PRCP,,,,,,,,,,,,,,,,,,,249.0,46.0,0.0,18.0,10.0,25.0,5.0,0.0,18.0,13.0,,,
US1NHBK0001,2009,7,PRCP,33.0,38.0,262.0,0.0,36.0,0.0,10.0,66.0,28.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,8.0,216.0,0.0,,,122.0,0.0,292.0,254.0,5.0,13.0,5.0,0.0,566.0,0.0
US1NHBK0001,2009,8,PRCP,259.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,160.0,30.0,28.0,25.0,0.0,13.0,0.0,361.0,127.0,
US1NHBK0001,2009,9,PRCP,,,,,,,,0.0,0.0,0.0,0.0,25.0,89.0,,5.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,102.0,79.0,28.0,5.0,
US1NHBK0001,2009,10,PRCP,0.0,0.0,64.0,,,0.0,152.0,81.0,0.0,38.0,0.0,0.0,66.0,41.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,18.0,0.0,135.0,627.0,0.0,0.0,0.0,122.0,0.0,8.0
US1NHBK0001,2009,11,PRCP,71.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,30.0,173.0,0.0,0.0,0.0,0.0,15.0,8.0,216.0,0.0,3.0,
US1NHBK0001,2009,12,PRCP,8.0,0.0,249.0,38.0,0.0,74.0,0.0,0.0,10.0,249.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,41.0,0.0,0.0
US1NHBK0001,2010,1,PRCP,20.0,41.0,25.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,5.0,56.0,8.0,0.0,0.0,0.0,28.0,173.0,0.0,0.0,15.0,0.0,0.0
US1NHBK0001,2010,2,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,102.0,455.0,38.0,25.0,,,
US1NHBK0001,2010,3,PRCP,23.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,226.0,0.0,30.0,0.0,0.0,71.0,234.0,218.0
US1NHBK0001,2010,4,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,36.0,107.0,0.0,0.0,0.0,0.0,0.0,38.0,229.0,56.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,48.0,30.0,0.0,
US1NHBK0001,2010,5,PRCP,0.0,,0.0,33.0,18.0,5.0,8.0,127.0,,,0.0,0.0,0.0,25.0,25.0,,,0.0,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,28.0,0.0
US1NHBK0001,2010,6,PRCP,0.0,8.0,5.0,30.0,,,165.0,0.0,5.0,30.0,66.0,0.0,25.0,5.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,66.0,0.0,20.0,0.0,,58.0,10.0,0.0,
US1NHBK0001,2010,7,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,18.0,0.0,180.0,5.0,8.0,,,,0.0,10.0,0.0,0.0
US1NHBK0001,2010,8,PRCP,0.0,,,13.0,0.0,23.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,,,,,345.0,0.0,0.0,0.0,0.0,0.0
US1NHBK0001,2010,9,PRCP,0.0,0.0,0.0,20.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,,30.0,18.0,5.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,114.0,10.0,5.0,
US1NHBK0001,2010,10,PRCP,180.0,404.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,409.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,18.0,191.0,53.0,69.0,0.0,8.0,
US1NHBK0001,2010,11,PRCP,,0.0,0.0,0.0,231.0,81.0,0.0,117.0,112.0,46.0,0.0,0.0,0.0,0.0,0.0,10.0,188.0,41.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,69.0,13.0,0.0,0.0,0.0,
US1NHBK0001,2010,12,PRCP,33.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,328.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,,269.0,66.0,0.0,0.0,0.0
US1NHBK0001,2011,1,PRCP,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,117.0,239.0,0.0,0.0,13.0,3.0,0.0,239.0,53.0,38.0,33.0,0.0,0.0,8.0,0.0,58.0,0.0,3.0,0.0,0.0
US1NHBK0001,2011,2,PRCP,0.0,119.0,137.0,0.0,0.0,175.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,284.0,66.0,33.0,,,
US1NHBK0001,2011,3,PRCP,112.0,0.0,8.0,0.0,0.0,0.0,554.0,58.0,0.0,0.0,71.0,91.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,,0.0,102.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
US1NHBK0001,2011,4,PRCP,76.0,86.0,0.0,0.0,74.0,51.0,5.0,0.0,0.0,0.0,152.0,97.0,5.0,175.0,0.0,0.0,361.0,25.0,0.0,28.0,0.0,0.0,0.0,170.0,0.0,71.0,30.0,0.0,71.0,0.0,
US1NHBK0001,2011,5,PRCP,0.0,0.0,0.0,0.0,86.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,399.0,13.0,94.0,,,,38.0,53.0,28.0,8.0,0.0,0.0,0.0,,0.0,0.0
US1NHBK0001,2011,6,PRCP,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,23.0,91.0,5.0,180.0,5.0,36.0,0.0,13.0,,81.0,30.0,0.0,0.0,0.0,145.0,97.0,53.0,5.0,0.0,,36.0,0.0,
US1NHBK0001,2011,7,PRCP,0.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,15.0,0.0,,,,264.0,0.0,0.0,0.0,8.0,13.0,0.0,,0.0,5.0,0.0,0.0,46.0,163.0,0.0,0.0,417.0,0.0
US1NHBK0001,2011,8,PRCP,,,8.0,0.0,0.0,0.0,89.0,0.0,,102.0,28.0,0.0,0.0,0.0,66.0,836.0,23.0,0.0,0.0,28.0,0.0,112.0,0.0,0.0,0.0,30.0,0.0,262.0,693.0,0.0,0.0
US1NHBK0001,2011,9,PRCP,0.0,0.0,0.0,,,452.0,58.0,163.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,0.0,0.0,0.0,15.0,18.0,157.0,94.0,127.0,8.0,0.0,0.0,0.0,226.0,399.0,
US1NHBK0001,2011,10,PRCP,5.0,267.0,117.0,76.0,71.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,307.0,8.0,5.0,0.0,0.0,150.0,13.0,0.0,0.0,0.0,8.0,0.0,66.0,117.0,0.0,343.0,0.0
US1NHBK0001,2011,11,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,,0.0,94.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,218.0,30.0,0.0,0.0,0.0,0.0,0.0,307.0,
US1NHBK0001,2011,12,PRCP,0.0,0.0,0.0,0.0,0.0,8.0,64.0,488.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,61.0,0.0,0.0,0.0,0.0,0.0,99.0,135.0,10.0,0.0,,0.0,178.0,0.0,0.0,0.0
US1NHBK0001,2012,1,PRCP,8.0,61.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,38.0,69.0,43.0,0.0,0.0,8.0,38.0,0.0,41.0,0.0,23.0,0.0,147.0,0.0,0.0,198.0,104.0,0.0,3.0,13.0
US1NHBK0001,2012,2,PRCP,13.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,183.0,0.0,0.0,0.0,0.0,,
US1NHBK0001,2012,3,PRCP,61.0,89.0,79.0,61.0,0.0,0.0,0.0,0.0,8.0,61.0,0.0,0.0,0.0,0.0,3.0,5.0,25.0,,,0.0,0.0,0.0,0.0,0.0,15.0,38.0,0.0,0.0,0.0,0.0,0.0
US1NHBK0001,2012,4,PRCP,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,378.0,150.0,5.0,0.0,109.0,0.0,0.0,0.0,
US1NHBK0001,2012,5,PRCP,30.0,145.0,15.0,30.0,8.0,0.0,0.0,18.0,292.0,89.0,81.0,0.0,0.0,0.0,208.0,33.0,132.0,0.0,0.0,0.0,0.0,23.0,71.0,8.0,0.0,0.0,0.0,0.0,5.0,127.0,0.0
US1NHBK0001,2012,6,PRCP,0.0,30.0,770.0,18.0,53.0,8.0,8.0,20.0,,,,0.0,152.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,0.0,0.0,5.0,
US1NHBK0001,2012,7,PRCP,0.0,0.0,25.0,43.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,0.0,94.0,0.0,0.0,0.0,,,,,0.0,249.0,30.0,,61.0,15.0
US1NHBK0001,2012,8,PRCP,0.0,0.0,0.0,0.0,0.0,119.0,8.0,0.0,0.0,61.0,574.0,66.0,64.0,,5.0,8.0,0.0,71.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
US1NHBK0001,2012,9,PRCP,0.0,0.0,0.0,46.0,427.0,13.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,676.0,0.0,0.0,0.0,104.0,,0.0,8.0,3.0,0.0,279.0,0.0,
US1NHBK0001,2012,10,PRCP,46.0,0.0,8.0,69.0,43.0,0.0,8.0,66.0,0.0,0.0,89.0,0.0,0.0,61.0,18.0,155.0,,0.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,325.0,201.0
US1NHBK0001,2012,11,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,13.0,0.0,0.0,,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,
US1NHBK0001,2012,12,PRCP,0.0,25.0,56.0,0.0,38.0,0.0,0.0,48.0,56.0,114.0,30.0,0.0,0.0,0.0,0.0,0.0,86.0,97.0,155.0,0.0,66.0,216.0,,0.0,8.0,10.0,58.0,86.0,0.0,86.0,0.0
US1NHBK0001,2013,1,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,5.0,0.0,0.0,15.0,56.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,58.0,147.0
US1NHBK0001,2013,2,PRCP,20.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,417.0,56.0,0.0,79.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,33.0,0.0,0.0,0.0,61.0,183.0,0.0,20.0,91.0,,,
US1NHBK0001,2013,3,PRCP,0.0,0.0,15.0,8.0,3.0,5.0,5.0,79.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,30.0,0.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1NHBK0001,2013,4,PRCP,112.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,71.0,99.0,89.0,20.0,135.0,0.0,0.0,0.0,15.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
US1NHBK0001,2013,5,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,5.0,23.0,81.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,102.0,0.0,244.0,48.0,185.0,147.0,348.0,5.0,0.0,13.0,64.0,0.0
US1NHBK0001,2013,6,PRCP,0.0,0.0,221.0,0.0,0.0,0.0,5.0,528.0,0.0,0.0,168.0,99.0,0.0,51.0,0.0,0.0,8.0,13.0,15.0,0.0,0.0,0.0,8.0,76.0,,,173.0,122.0,193.0,,
US1NHBK0001,2013,7,PRCP,,,163.0,0.0,38.0,0.0,0.0,56.0,526.0,0.0,102.0,8.0,0.0,,,,,13.0,41.0,51.0,0.0,0.0,,,,8.0,48.0,0.0,23.0,0.0,0.0
US1NHBK0001,2013,8,PRCP,0.0,224.0,0.0,8.0,5.0,0.0,0.0,5.0,5.0,147.0,0.0,,,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,135.0,0.0,13.0
US1NHBK0001,2013,9,PRCP,0.0,201.0,155.0,0.0,8.0,0.0,0.0,,0.0,0.0,41.0,58.0,226.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
US1NHBK0001,2013,10,PRCP,0.0,0.0,0.0,0.0,0.0,,86.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1NHBK0001,2013,11,PRCP,89.0,53.0,30.0,0.0,0.0,0.0,0.0,18.0,5.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,5.0,0.0,0.0,3.0,18.0,10.0,0.0,5.0,320.0,224.0,0.0,0.0,
US1NHBK0001,2013,12,PRCP,0.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,0.0,41.0,13.0,5.0,0.0,5.0,206.0,8.0,0.0,53.0,0.0,0.0,0.0,56.0,25.0,74.0,0.0,5.0,36.0,0.0,0.0,226.0,0.0
US1NHBK0001,2014,1,PRCP,0.0,23.0,140.0,0.0,0.0,160.0,102.0,0.0,0.0,0.0,43.0,160.0,0.0,0.0,157.0,0.0,0.0,0.0,61.0,23.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
