ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
USC00272999,2025,3,TMIN,-133.0,-183.0,-300.0,,-111.0,-28.0,-111.0,-111.0,-117.0,-94.0,-117.0,-111.0,-128.0,-78.0,-61.0,6.0,22.0,-67.0,-56.0,0.0,0.0,-78.0,-128.0,-128.0,-72.0,,,,,,
USC00273182,2025,2,TMIN,-117.0,-233.0,-233.0,-83.0,-172.0,-217.0,-217.0,-128.0,-128.0,-106.0,-228.0,-228.0,-172.0,-78.0,,-172.0,-94.0,-117.0,-161.0,-178.0,-172.0,,-106.0,-111.0,-39.0,-33.0,-50.0,-39.0,,,
USC00273182,2025,3,TMIN,,,,,,,,-61.0,-61.0,-50.0,-44.0,-28.0,-56.0,-67.0,-61.0,-33.0,-67.0,-11.0,-44.0,-44.0,22.0,-39.0,-67.0,-67.0,-61.0,,,,,,
USC00273488,2025,2,TMIN,-128.0,,-233.0,-72.0,-150.0,-233.0,-228.0,-89.0,-94.0,,-200.0,,-161.0,-106.0,-161.0,-161.0,-83.0,-139.0,-167.0,-233.0,-228.0,-111.0,-117.0,-61.0,-56.0,-44.0,-72.0,-44.0,,,
USC00273488,2025,3,TMIN,-78.0,-156.0,-200.0,-194.0,-111.0,-6.0,-83.0,-83.0,-67.0,-61.0,-44.0,-39.0,-61.0,-72.0,-44.0,-22.0,33.0,-39.0,-44.0,-22.0,28.0,-44.0,-89.0,-89.0,-44.0,,,,,,
USC00273535,2025,2,TMIN,,-233.0,-200.0,-161.0,-250.0,-200.0,-144.0,-161.0,-161.0,-161.0,,-211.0,,,-206.0,,,,-250.0,-161.0,-183.0,-189.0,-189.0,-117.0,-117.0,-50.0,-106.0,-106.0,,,
USC00273535,2025,3,TMIN,-161.0,,-250.0,-250.0,-83.0,-11.0,-178.0,-178.0,-156.0,-139.0,-56.0,-122.0,-122.0,-56.0,,33.0,33.0,-89.0,,,,-100.0,-178.0,-178.0,,,,,,,
USC00273626,2025,2,TMIN,,,,,,,,,,,,-172.0,-83.0,-50.0,,,,,,,,,,,,,,,,,
USC00273626,2025,3,TMIN,,,,,-50.0,11.0,-39.0,,,,,,,,,,,,,,,,,,,,,,,,
USC00273658,2025,2,TMIN,-67.0,-217.0,-100.0,-44.0,-133.0,-172.0,-122.0,-106.0,-78.0,-78.0,,-150.0,-117.0,-78.0,-128.0,-89.0,-94.0,-128.0,-156.0,-178.0,,-128.0,-100.0,-39.0,-17.0,6.0,-28.0,-17.0,,,
USC00273658,2025,3,TMIN,-28.0,-144.0,-161.0,-161.0,-11.0,44.0,-67.0,-50.0,-67.0,,-44.0,-6.0,-33.0,-56.0,-11.0,0.0,,-11.0,-39.0,-39.0,28.0,-17.0,-67.0,,,,,,,,
USC00273825,2025,2,TMIN,,,,,,,,,,,-172.0,-167.0,-78.0,-78.0,,,,-117.0,-150.0,-183.0,-167.0,,,,,,,,,,
