DATE,ID,SNWD
2025-02-01,US1NHBK0001,203.0
2025-02-02,US1NHBK0001,203.0
2025-02-03,US1NHBK0001,241.0
2025-02-04,US1NHBK0001,216.0
2025-02-05,US1NHBK0001,203.0
2025-02-06,US1NHBK0001,203.0
2025-02-07,US1NHBK0001,279.0
2025-02-08,US1NHBK0001,267.0
2025-02-09,US1NHBK0001,457.0
2025-02-10,US1NHBK0001,445.0
2025-02-11,US1NHBK0001,432.0
2025-02-12,US1NHBK0001,406.0
2025-02-13,US1NHBK0001,419.0
2025-02-14,US1NHBK0001,381.0
2025-02-15,US1NHBK0001,381.0
2025-02-16,US1NHBK0001,457.0
2025-02-17,US1NHBK0001,533.0
2025-02-18,US1NHBK0001,533.0
2025-02-19,US1NHBK0001,508.0
2025-02-20,US1NHBK0001,483.0
2025-02-21,US1NHBK0001,432.0
2025-02-22,US1NHBK0001,432.0
2025-02-23,US1NHBK0001,406.0
2025-02-24,US1NHBK0001,381.0
2025-02-26,US1NHBK0001,343.0
2025-02-27,US1NHBK0001,318.0
2025-02-28,US1NHBK0001,394.0
2025-03-01,US1NHBK0001,394.0
2025-03-02,US1NHBK0001,381.0
2025-03-03,US1NHBK0001,368.0
2025-03-04,US1NHBK0001,356.0
2025-03-05,US1NHBK0001,330.0
2025-03-06,US1NHBK0001,305.0
2025-03-07,US1NHBK0001,279.0
2025-03-09,US1NHBK0001,267.0
2025-03-10,US1NHBK0001,229.0
2025-03-11,US1NHBK0001,203.0
2025-03-12,US1NHBK0001,178.0
2025-03-13,US1NHBK0001,152.0
2025-03-14,US1NHBK0001,127.0
2025-03-15,US1NHBK0001,127.0
2025-03-16,US1NHBK0001,76.0
2025-03-25,US1NHBK0001,89.0
2025-02-01,US1NHBK0002,178.0
2025-02-02,US1NHBK0002,165.0
2025-02-03,US1NHBK0002,203.0
2025-02-04,US1NHBK0002,165.0
2025-02-05,US1NHBK0002,165.0
2025-02-06,US1NHBK0002,165.0
2025-02-07,US1NHBK0002,254.0
2025-02-08,US1NHBK0002,241.0
2025-02-09,US1NHBK0002,457.0
2025-02-10,US1NHBK0002,381.0
2025-02-11,US1NHBK0002,381.0
2025-02-12,US1NHBK0002,356.0
2025-02-13,US1NHBK0002,343.0
2025-02-14,US1NHBK0002,330.0
2025-02-15,US1NHBK0002,330.0
2025-02-16,US1NHBK0002,419.0
2025-02-17,US1NHBK0002,457.0
2025-02-18,US1NHBK0002,445.0
2025-02-19,US1NHBK0002,445.0
2025-02-20,US1NHBK0002,432.0
2025-02-22,US1NHBK0002,432.0
2025-02-23,US1NHBK0002,419.0
2025-02-24,US1NHBK0002,406.0
2025-02-25,US1NHBK0002,381.0
2025-02-26,US1NHBK0002,356.0
2025-02-27,US1NHBK0002,330.0
2025-02-28,US1NHBK0002,381.0
2025-03-01,US1NHBK0002,381.0
2025-03-02,US1NHBK0002,356.0
2025-03-03,US1NHBK0002,356.0
2025-03-04,US1NHBK0002,356.0
2025-03-05,US1NHBK0002,343.0
2025-03-06,US1NHBK0002,254.0
2025-03-07,US1NHBK0002,203.0
2025-03-08,US1NHBK0002,191.0
2025-03-09,US1NHBK0002,191.0
2025-03-10,US1NHBK0002,191.0
2025-03-11,US1NHBK0002,165.0
2025-03-12,US1NHBK0002,114.0
2025-03-13,US1NHBK0002,102.0
2025-03-14,US1NHBK0002,89.0
2025-03-15,US1NHBK0002,51.0
2025-03-16,US1NHBK0002,0.0
2025-03-17,US1NHBK0002,0.0
2025-03-18,US1NHBK0002,0.0
2025-03-19,US1NHBK0002,0.0
2025-03-21,US1NHBK0002,0.0
2025-03-22,US1NHBK0002,0.0
2025-03-23,US1NHBK0002,0.0
2025-03-24,US1NHBK0002,0.0
2025-03-25,US1NHBK0002,76.0
2025-02-01,US1NHBK0009,178.0
2025-02-03,US1NHBK0009,203.0
2025-02-04,US1NHBK0009,191.0
2025-02-05,US1NHBK0009,178.0
2025-02-07,US1NHBK0009,267.0
2025-02-09,US1NHBK0009,445.0
2025-02-10,US1NHBK0009,406.0
2025-02-11,US1NHBK0009,381.0
2025-02-13,US1NHBK0009,318.0
2025-02-14,US1NHBK0009,330.0
2025-02-15,US1NHBK0009,318.0
2025-02-16,US1NHBK0009,419.0
2025-02-17,US1NHBK0009,445.0
2025-02-20,US1NHBK0009,381.0
2025-02-21,US1NHBK0009,368.0
2025-02-26,US1NHBK0009,343.0
2025-02-27,US1NHBK0009,305.0
2025-02-28,US1NHBK0009,394.0
2025-03-01,US1NHBK0009,406.0
2025-03-03,US1NHBK0009,356.0
2025-03-04,US1NHBK0009,343.0
2025-03-05,US1NHBK0009,343.0
2025-03-06,US1NHBK0009,305.0
2025-03-07,US1NHBK0009,241.0
2025-03-08,US1NHBK0009,241.0
2025-03-09,US1NHBK0009,229.0
2025-03-10,US1NHBK0009,229.0
2025-03-11,US1NHBK0009,203.0
2025-03-12,US1NHBK0009,140.0
2025-03-13,US1NHBK0009,127.0
2025-03-14,US1NHBK0009,102.0
2025-03-15,US1NHBK0009,76.0
2025-03-16,US1NHBK0009,38.0
2025-03-17,US1NHBK0009,0.0
2025-03-19,US1NHBK0009,0.0
2025-03-20,US1NHBK0009,0.0
2025-03-21,US1NHBK0009,0.0
2025-03-22,US1NHBK0009,0.0
2025-03-23,US1NHBK0009,0.0
2025-03-24,US1NHBK0009,0.0
2025-03-25,US1NHBK0009,140.0
2025-03-18,US1NHBK0018,0.0
2025-02-01,US1NHBK0026,216.0
2025-02-02,US1NHBK0026,203.0
2025-02-03,US1NHBK0026,241.0
2025-02-04,US1NHBK0026,254.0
2025-02-05,US1NHBK0026,241.0
2025-02-06,US1NHBK0026,241.0
2025-02-07,US1NHBK0026,330.0
2025-02-08,US1NHBK0026,318.0
2025-02-09,US1NHBK0026,508.0
2025-02-10,US1NHBK0026,495.0
2025-02-11,US1NHBK0026,483.0
2025-02-12,US1NHBK0026,483.0
2025-02-13,US1NHBK0026,483.0
2025-02-14,US1NHBK0026,432.0
2025-02-15,US1NHBK0026,406.0
2025-02-16,US1NHBK0026,457.0
2025-02-17,US1NHBK0026,521.0
2025-02-18,US1NHBK0026,483.0
2025-02-19,US1NHBK0026,470.0
2025-02-20,US1NHBK0026,457.0
2025-02-21,US1NHBK0026,445.0
2025-02-22,US1NHBK0026,432.0
2025-02-23,US1NHBK0026,419.0
2025-02-24,US1NHBK0026,419.0
2025-02-25,US1NHBK0026,406.0
2025-02-26,US1NHBK0026,356.0
2025-02-27,US1NHBK0026,330.0
2025-02-28,US1NHBK0026,381.0
2025-03-16,US1NHBK0026,38.0
2025-02-01,US1NHBK0034,152.0
2025-02-03,US1NHBK0034,178.0
2025-02-07,US1NHBK0034,229.0
2025-02-09,US1NHBK0034,406.0
2025-02-10,US1NHBK0034,406.0
2025-02-16,US1NHBK0034,330.0
2025-02-17,US1NHBK0034,406.0
2025-02-24,US1NHBK0034,343.0
2025-02-28,US1NHBK0034,318.0
2025-03-01,US1NHBK0034,343.0
2025-03-03,US1NHBK0034,305.0
2025-03-06,US1NHBK0034,229.0
2025-03-10,US1NHBK0034,140.0
2025-03-12,US1NHBK0034,0.0
2025-03-13,US1NHBK0034,0.0
2025-03-14,US1NHBK0034,0.0
2025-03-15,US1NHBK0034,0.0
2025-03-16,US1NHBK0034,0.0
2025-03-17,US1NHBK0034,0.0
2025-03-18,US1NHBK0034,0.0
2025-03-19,US1NHBK0034,0.0
2025-03-20,US1NHBK0034,0.0
2025-03-21,US1NHBK0034,0.0
2025-03-22,US1NHBK0034,0.0
2025-03-23,US1NHBK0034,0.0
2025-03-24,US1NHBK0034,0.0
2025-03-25,US1NHBK0034,89.0
2025-02-09,US1NHCH0020,343.0
2025-02-18,US1NHCH0027,368.0
2025-03-01,US1NHCH0027,292.0
2025-03-10,US1NHCH0027,165.0
2025-03-11,US1NHCH0027,127.0
2025-03-12,US1NHCH0027,102.0
2025-03-13,US1NHCH0027,102.0
2025-03-14,US1NHCH0027,89.0
2025-03-15,US1NHCH0027,38.0
2025-03-16,US1NHCH0027,0.0
2025-03-17,US1NHCH0027,0.0
