DATE,ID,TMIN
2025-02-01,USC00270690,-122.0
2025-02-02,USC00270690,-272.0
2025-02-03,USC00270690,-244.0
2025-02-04,USC00270690,-78.0
2025-02-05,USC00270690,-156.0
2025-02-06,USC00270690,-228.0
2025-02-07,USC00270690,-222.0
2025-02-08,USC00270690,-111.0
2025-02-09,USC00270690,-128.0
2025-02-10,USC00270690,-117.0
2025-02-11,USC00270690,-189.0
2025-02-12,USC00270690,-183.0
2025-02-13,USC00270690,-150.0
2025-02-14,USC00270690,-111.0
2025-02-15,USC00270690,-172.0
2025-02-16,USC00270690,-167.0
2025-02-17,USC00270690,-128.0
2025-02-18,USC00270690,-150.0
2025-02-19,USC00270690,-183.0
2025-02-20,USC00270690,-228.0
2025-02-21,USC00270690,-222.0
2025-02-22,USC00270690,-117.0
2025-02-23,USC00270690,-111.0
2025-02-24,USC00270690,-67.0
2025-02-25,USC00270690,-61.0
2025-02-26,USC00270690,-28.0
2025-02-27,USC00270690,-83.0
2025-02-28,USC00270690,-61.0
2025-03-01,USC00270690,-72.0
2025-03-02,USC00270690,-167.0
2025-03-03,USC00270690,-222.0
2025-03-04,USC00270690,-217.0
2025-03-05,USC00270690,-217.0
2025-03-06,USC00270690,-6.0
2025-03-07,USC00270690,-89.0
2025-03-08,USC00270690,-89.0
2025-03-09,USC00270690,-78.0
2025-03-10,USC00270690,-50.0
2025-03-11,USC00270690,-44.0
2025-03-12,USC00270690,-56.0
2025-03-13,USC00270690,-72.0
2025-03-14,USC00270690,-72.0
2025-03-15,USC00270690,-61.0
2025-03-16,USC00270690,-28.0
2025-03-17,USC00270690,17.0
2025-03-18,USC00270690,-44.0
2025-03-19,USC00270690,-39.0
2025-03-20,USC00270690,-39.0
2025-03-21,USC00270690,28.0
2025-03-22,USC00270690,-44.0
2025-03-23,USC00270690,-100.0
2025-03-24,USC00270690,-94.0
2025-03-25,USC00270690,-50.0
2025-02-01,USC00270913,-83.0
2025-02-02,USC00270913,-239.0
2025-02-08,USC00270913,-122.0
2025-02-09,USC00270913,-78.0
2025-02-10,USC00270913,-117.0
2025-02-01,USC00271190,-117.0
2025-02-02,USC00271190,-222.0
2025-02-04,USC00271190,-100.0
2025-02-05,USC00271190,-200.0
2025-02-06,USC00271190,-200.0
2025-02-07,USC00271190,-156.0
2025-02-08,USC00271190,-144.0
2025-02-09,USC00271190,-144.0
2025-02-10,USC00271190,-139.0
2025-02-11,USC00271190,-167.0
2025-02-13,USC00271190,-161.0
2025-02-14,USC00271190,-172.0
2025-02-15,USC00271190,-178.0
2025-02-16,USC00271190,-172.0
2025-02-17,USC00271190,-178.0
2025-02-18,USC00271190,-211.0
2025-02-19,USC00271190,-206.0
2025-02-20,USC00271190,-183.0
2025-02-21,USC00271190,-156.0
2025-02-23,USC00271190,-178.0
2025-02-24,USC00271190,-111.0
2025-02-25,USC00271190,-128.0
2025-02-26,USC00271190,-39.0
