DATE,ID,PRCP
2025-03-08,US1NHBK0009,3.0
2025-03-09,US1NHBK0009,0.0
2025-03-10,US1NHBK0009,0.0
2025-03-11,US1NHBK0009,0.0
2025-03-12,US1NHBK0009,0.0
2025-03-13,US1NHBK0009,0.0
2025-03-14,US1NHBK0009,0.0
2025-03-15,US1NHBK0009,0.0
2025-03-16,US1NHBK0009,0.0
2025-03-17,US1NHBK0009,257.0
2025-03-18,US1NHBK0009,69.0
2025-03-19,US1NHBK0009,0.0
2025-03-20,US1NHBK0009,0.0
2025-03-21,US1NHBK0009,61.0
2025-03-22,US1NHBK0009,30.0
2025-03-23,US1NHBK0009,0.0
2025-03-24,US1NHBK0009,0.0
2025-03-25,US1NHBK0009,137.0
2025-02-01,US1NHBK0010,66.0
2025-02-02,US1NHBK0010,0.0
2025-02-03,US1NHBK0010,41.0
2025-02-04,US1NHBK0010,13.0
2025-02-06,US1NHBK0010,0.0
2025-02-07,US1NHBK0010,127.0
2025-02-08,US1NHBK0010,0.0
2025-02-09,US1NHBK0010,107.0
2025-02-10,US1NHBK0010,8.0
2025-02-11,US1NHBK0010,0.0
2025-02-12,US1NHBK0010,0.0
2025-02-13,US1NHBK0010,5.0
2025-02-14,US1NHBK0010,58.0
2025-02-15,US1NHBK0010,0.0
2025-02-16,US1NHBK0010,66.0
2025-02-17,US1NHBK0010,178.0
2025-02-18,US1NHBK0010,0.0
2025-02-19,US1NHBK0010,0.0
2025-02-20,US1NHBK0010,0.0
2025-02-21,US1NHBK0010,0.0
2025-02-22,US1NHBK0010,0.0
2025-02-23,US1NHBK0010,0.0
2025-02-24,US1NHBK0010,0.0
2025-02-25,US1NHBK0010,0.0
2025-02-26,US1NHBK0010,0.0
2025-02-27,US1NHBK0010,0.0
2025-02-28,US1NHBK0010,119.0
2025-03-01,US1NHBK0010,25.0
2025-03-02,US1NHBK0010,0.0
2025-03-03,US1NHBK0010,0.0
2025-03-04,US1NHBK0010,0.0
2025-03-05,US1NHBK0010,0.0
2025-03-06,US1NHBK0010,180.0
2025-03-07,US1NHBK0010,25.0
2025-03-08,US1NHBK0010,0.0
2025-03-09,US1NHBK0010,0.0
2025-03-10,US1NHBK0010,0.0
2025-03-11,US1NHBK0010,0.0
2025-03-12,US1NHBK0010,0.0
2025-03-13,US1NHBK0010,0.0
2025-03-14,US1NHBK0010,0.0
2025-03-15,US1NHBK0010,0.0
2025-03-16,US1NHBK0010,0.0
2025-03-17,US1NHBK0010,201.0
2025-03-18,US1NHBK0010,145.0
2025-03-19,US1NHBK0010,0.0
2025-03-20,US1NHBK0010,0.0
2025-03-21,US1NHBK0010,30.0
2025-03-22,US1NHBK0010,46.0
2025-03-23,US1NHBK0010,0.0
2025-03-24,US1NHBK0010,0.0
2025-03-25,US1NHBK0010,155.0
2025-02-01,US1NHBK0012,71.0
2025-02-03,US1NHBK0012,43.0
2025-02-04,US1NHBK0012,38.0
2025-02-07,US1NHBK0012,122.0
2025-02-10,US1NHBK0012,112.0
2025-02-14,US1NHBK0012,117.0
2025-02-16,US1NHBK0012,64.0
2025-02-17,US1NHBK0012,191.0
2025-02-28,US1NHBK0012,119.0
2025-03-17,US1NHBK0018,236.0
2025-03-18,US1NHBK0018,46.0
2025-03-19,US1NHBK0018,0.0
2025-02-01,US1NHBK0026,66.0
2025-02-02,US1NHBK0026,0.0
2025-02-03,US1NHBK0026,43.0
2025-02-04,US1NHBK0026,23.0
2025-02-05,US1NHBK0026,0.0
2025-02-06,US1NHBK0026,0.0
2025-02-07,US1NHBK0026,112.0
2025-02-08,US1NHBK0026,0.0
2025-02-09,US1NHBK0026,94.0
2025-02-10,US1NHBK0026,0.0
2025-02-11,US1NHBK0026,0.0
2025-02-12,US1NHBK0026,0.0
2025-02-13,US1NHBK0026,33.0
2025-02-14,US1NHBK0026,58.0
2025-02-15,US1NHBK0026,0.0
2025-02-16,US1NHBK0026,76.0
2025-02-17,US1NHBK0026,183.0
2025-02-18,US1NHBK0026,0.0
2025-02-19,US1NHBK0026,0.0
2025-02-20,US1NHBK0026,0.0
2025-02-21,US1NHBK0026,0.0
2025-02-22,US1NHBK0026,0.0
2025-02-23,US1NHBK0026,0.0
2025-02-24,US1NHBK0026,0.0
2025-02-25,US1NHBK0026,0.0
2025-02-26,US1NHBK0026,0.0
2025-02-27,US1NHBK0026,0.0
2025-02-28,US1NHBK0026,142.0
2025-03-01,US1NHBK0026,28.0
2025-03-02,US1NHBK0026,0.0
2025-03-03,US1NHBK0026,0.0
2025-03-04,US1NHBK0026,0.0
2025-03-05,US1NHBK0026,0.0
2025-03-07,US1NHBK0026,0.0
2025-03-08,US1NHBK0026,0.0
2025-03-09,US1NHBK0026,0.0
2025-03-10,US1NHBK0026,3.0
2025-03-11,US1NHBK0026,0.0
2025-03-12,US1NHBK0026,0.0
2025-03-17,US1NHBK0026,244.0
2025-03-18,US1NHBK0026,30.0
2025-03-19,US1NHBK0026,0.0
2025-03-20,US1NHBK0026,0.0
2025-03-21,US1NHBK0026,86.0
2025-03-22,US1NHBK0026,5.0
2025-03-23,US1NHBK0026,0.0
2025-03-24,US1NHBK0026,0.0
2025-03-25,US1NHBK0026,160.0
2025-02-01,US1NHBK0034,61.0
2025-02-02,US1NHBK0034,0.0
2025-02-03,US1NHBK0034,30.0
2025-02-04,US1NHBK0034,13.0
2025-02-05,US1NHBK0034,0.0
2025-02-06,US1NHBK0034,0.0
2025-02-07,US1NHBK0034,122.0
