DATE,ID,WT18
1895-11-23,USC00272174,1.0
1895-12-05,USC00272174,1.0
1895-12-07,USC00272174,1.0
1896-01-20,USC00272174,1.0
1896-02-04,USC00272174,1.0
1896-02-05,USC00272174,1.0
1915-11-24,USC00272174,1.0
1915-12-08,USC00272174,1.0
1915-12-09,USC00272174,1.0
1916-01-01,USC00272174,1.0
1916-01-02,USC00272174,1.0
1916-01-10,USC00272174,1.0
1916-01-20,USC00272174,1.0
1916-02-02,USC00272174,1.0
1916-02-03,USC00272174,1.0
1916-02-12,USC00272174,1.0
1916-02-13,USC00272174,1.0
1916-02-24,USC00272174,1.0
1916-03-02,USC00272174,1.0
1916-03-07,USC00272174,1.0
1916-03-09,USC00272174,1.0
1916-03-13,USC00272174,1.0
1916-03-15,USC00272174,1.0
1916-03-22,USC00272174,1.0
1916-04-09,USC00272174,1.0
1916-04-14,USC00272174,1.0
1890-01-15,USC00273850,1.0
1942-01-04,USC00275211,1.0
1942-01-10,USC00275211,1.0
1942-01-11,USC00275211,1.0
1942-01-27,USC00275211,1.0
1942-02-01,USC00275211,1.0
1942-02-05,USC00275211,1.0
1942-02-08,USC00275211,1.0
1942-02-16,USC00275211,1.0
1942-02-17,USC00275211,1.0
1942-02-19,USC00275211,1.0
1942-02-25,USC00275211,1.0
1942-02-28,USC00275211,1.0
1942-03-01,USC00275211,1.0
1942-03-03,USC00275211,1.0
1942-03-07,USC00275211,1.0
1942-03-10,USC00275211,1.0
1942-03-14,USC00275211,1.0
1942-03-30,USC00275211,1.0
1942-04-10,USC00275211,1.0
1943-03-03,USC00275211,1.0
1943-03-04,USC00275211,1.0
1943-03-06,USC00275211,1.0
1943-03-10,USC00275211,1.0
1943-03-16,USC00275211,1.0
1943-03-30,USC00275211,1.0
1943-04-03,USC00275211,1.0
1943-04-16,USC00275211,1.0
1943-04-19,USC00275211,1.0
1943-11-15,USC00275211,1.0
1943-11-16,USC00275211,1.0
1943-11-22,USC00275211,1.0
1943-11-23,USC00275211,1.0
1943-11-24,USC00275211,1.0
1943-12-06,USC00275211,1.0
